frame nummer,x=,y=,time=,cpu=,mem=
155,166,493,19.981091737747192,,
155,41,586,19.981091737747192,,
155,41,680,19.981091737747192,,
155,41,586,19.981091737747192,,
155,166,586,19.981091737747192,,
155,166,493,19.981091737747192,,
155,83,657,19.981091737747192,,
155,166,657,19.981091737747192,,
156,83,680,20.10761594772339,,
156,166,657,20.10761594772339,,
157,125,516,20.23113489151001,,
157,166,516,20.23113489151001,,
157,125,516,20.23113489151001,,
157,41,586,20.23113489151001,,
157,166,586,20.23113489151001,,
157,166,516,20.23113489151001,,
157,83,657,20.23113489151001,,
157,125,516,20.23113489151001,,
157,166,657,20.23113489151001,,
157,125,516,20.23113489151001,,
157,125,446,20.23113489151001,,
157,125,516,20.23113489151001,,
157,125,446,20.23113489151001,,
157,125,446,20.23113489151001,,
158,83,657,20.356157302856445,,
158,166,657,20.356157302856445,,
159,166,493,20.483678817749023,,
159,166,563,20.483678817749023,,
159,166,493,20.483678817749023,,
159,83,657,20.483678817749023,,
159,166,657,20.483678817749023,,
160,166,493,20.60920071601868,,
160,166,586,20.60920071601868,,
160,166,493,20.60920071601868,,
160,83,680,20.60920071601868,,
160,166,680,20.60920071601868,,
160,125,446,20.60970187187195,,
160,125,446,20.60970187187195,,
160,125,446,20.60970187187195,,
161,208,493,20.735723733901978,,
161,41,586,20.735723733901978,,
161,166,586,20.735723733901978,,
161,208,493,20.735723733901978,,
161,83,680,20.735723733901978,,
161,166,657,20.735723733901978,,
161,125,446,20.735723733901978,,
161,125,446,20.735723733901978,,
161,125,446,20.735723733901978,,
162,208,493,20.861745357513428,,
162,41,586,20.861745357513428,,
162,166,586,20.861745357513428,,
162,208,493,20.861745357513428,,
162,83,680,20.862245321273804,,
162,166,657,20.862245321273804,,
162,125,446,20.862245321273804,,
162,125,446,20.862245321273804,,
162,125,422,20.862245321273804,,
162,125,446,20.862245321273804,,
162,125,422,20.862245321273804,,
163,208,493,20.98926687240601,,
163,166,563,20.98926687240601,,
163,208,493,20.98926687240601,,
163,83,680,20.98926687240601,,
163,166,657,20.98926687240601,,
163,125,446,20.98926687240601,,
163,125,446,20.98926687240601,,
163,125,446,20.98926687240601,,
164,166,586,21.11929035186768,,
164,83,680,21.11929035186768,,
164,166,657,21.11929035186768,,
164,125,446,21.11929035186768,,
164,125,446,21.11929035186768,,
164,125,446,21.11929035186768,,
165,166,586,21.24431228637696,,
165,83,680,21.24431228637696,,
165,208,657,21.24431228637696,,
165,125,446,21.24431228637696,,
165,125,446,21.24431228637696,,
165,125,446,21.24431228637696,,
166,166,586,21.370334148406982,,
166,83,680,21.370334148406982,,
166,125,446,21.370334148406982,,
166,125,446,21.370334148406982,,
166,125,446,21.370334148406982,,
167,166,493,21.500356674194336,,
167,166,586,21.500356674194336,,
167,166,493,21.500356674194336,,
167,125,446,21.500356674194336,,
167,125,446,21.500356674194336,,
167,125,446,21.500356674194336,,
168,166,586,21.62687873840332,,
168,125,446,21.62687873840332,,
168,125,446,21.62687873840332,,
168,125,446,21.62687873840332,,
169,166,586,21.75289964675904,,
169,125,446,21.75289964675904,,
169,125,446,21.75289964675904,,
169,125,446,21.75340056419373,,
183,125,422,23.542711973190308,,
183,125,422,23.542711973190308,,
184,41,586,23.670233964920044,,
184,125,422,23.67073440551757,,
184,125,422,23.67073440551757,,
185,41,586,23.79675555229187,,
185,83,680,23.79675555229187,,
185,125,422,23.79675555229187,,
185,125,422,23.79675555229187,,
188,41,586,24.18182373046875,,
188,83,657,24.182323217391968,,
188,166,657,24.182323217391968,,
188,125,422,24.182323217391968,,
188,125,422,24.182323217391968,,
188,83,422,24.182323217391968,,
188,125,422,24.182323217391968,,
189,41,586,24.3103449344635,,
189,166,563,24.3103449344635,,
189,83,657,24.3103449344635,,
189,166,657,24.3103449344635,,
189,83,422,24.3103449344635,,
190,83,422,24.436867475509644,,
192,83,422,24.69091248512268,,
195,83,422,25.076478958129883,,
197,208,633,25.33902406692505,,
201,333,469,25.85761451721192,,
201,333,469,25.85761451721192,,
202,125,469,25.98813796043396,,
202,125,469,25.98813796043396,,
202,41,563,25.98813796043396,,
202,83,657,25.98813796043396,,
202,125,469,25.98813796043396,,
202,208,657,25.98813796043396,,
202,125,469,25.98813796043396,,
202,125,469,25.98813796043396,,
202,83,422,25.98863840103149,,
203,125,469,26.11766028404236,,
203,125,469,26.11816048622132,,
203,41,586,26.11816048622132,,
203,83,657,26.11816048622132,,
203,125,469,26.11816048622132,,
203,208,657,26.11816048622132,,
203,125,469,26.11816048622132,,
203,125,469,26.11816048622132,,
203,83,422,26.11816048622132,,
204,83,469,26.246181964874268,,
204,125,469,26.246181964874268,,
204,208,469,26.2466824054718,,
204,125,469,26.2466824054718,,
204,41,563,26.2466824054718,,
204,83,469,26.2466824054718,,
204,208,540,26.2466824054718,,
204,208,469,26.2466824054718,,
204,83,633,26.2466824054718,,
204,125,469,26.2466824054718,,
204,208,633,26.2466824054718,,
204,125,469,26.2466824054718,,
204,125,469,26.2466824054718,,
204,83,422,26.2466824054718,,
205,208,469,26.37720489501953,,
205,83,657,26.37720489501953,,
205,208,633,26.37720489501953,,
205,125,399,26.37720489501953,,
205,83,422,26.37720489501953,,
205,125,399,26.37720489501953,,
206,208,657,26.507227897644043,,
206,125,422,26.507227897644043,,
206,125,422,26.507227897644043,,
206,83,422,26.50772786140442,,
206,125,422,26.50772786140442,,
207,83,633,26.63274955749512,,
207,208,633,26.63274955749512,,
207,83,422,26.63325047492981,,
208,83,422,26.759771823883057,,
209,83,399,26.889294624328613,,
210,208,540,27.01931643486023,,
210,83,633,27.01931643486023,,
210,208,610,27.01931643486023,,
210,125,399,27.0198175907135,,
210,125,399,27.0198175907135,,
210,125,399,27.0198175907135,,
210,125,399,27.0198175907135,,
210,125,399,27.0198175907135,,
210,125,399,27.0198175907135,,
210,125,399,27.0198175907135,,
211,83,469,27.146839141845703,,
211,125,469,27.146839141845703,,
211,208,469,27.1473388671875,,
211,125,469,27.1473388671875,,
211,41,540,27.1473388671875,,
211,83,469,27.1473388671875,,
211,208,540,27.1473388671875,,
211,208,469,27.1473388671875,,
211,83,610,27.1473388671875,,
211,125,469,27.1473388671875,,
211,166,610,27.1473388671875,,
211,125,469,27.1473388671875,,
211,125,399,27.1473388671875,,
211,125,469,27.1473388671875,,
211,125,399,27.1473388671875,,
211,83,399,27.1473388671875,,
211,125,399,27.1473388671875,,
212,125,446,27.27786421775818,,
212,166,446,27.27786421775818,,
212,125,446,27.27786421775818,,
212,41,540,27.27786421775818,,
212,208,516,27.27786421775818,,
212,166,446,27.27786421775818,,
212,83,610,27.27786421775818,,
212,125,446,27.27786421775818,,
212,166,586,27.27786421775818,,
212,125,446,27.27786421775818,,
212,125,399,27.27786421775818,,
212,125,446,27.27786421775818,,
212,125,399,27.27786421775818,,
212,83,399,27.27786421775818,,
212,125,399,27.27786421775818,,
213,83,610,27.408385753631592,,
213,166,586,27.408385753631592,,
214,208,516,27.53690767288208,,
214,83,610,27.53690767288208,,
214,166,586,27.53690767288208,,
215,208,516,27.664929389953613,,
215,83,610,27.664929389953613,,
215,166,586,27.664929389953613,,
215,83,399,27.664929389953613,,
216,208,516,27.78995108604431,,
216,83,610,27.78995108604431,,
216,208,610,27.79045081138611,,
216,125,399,27.79045081138611,,
216,125,399,27.79045081138611,,
216,83,399,27.79045081138611,,
216,125,399,27.79045081138611,,
238,208,516,30.60694146156311,,
238,83,610,30.60694146156311,,
238,208,610,30.60694146156311,,
239,208,516,30.734463453292847,,
239,125,633,30.734463453292847,,
239,208,610,30.734463453292847,,
240,208,540,30.863986015319824,,
240,125,633,30.863986015319824,,
240,208,610,30.863986015319824,,
241,208,446,30.99200820922852,,
241,125,610,30.99250841140747,,
241,208,610,30.99250841140747,,
242,83,446,31.1185314655304,,
242,208,446,31.1185314655304,,
242,83,540,31.1185314655304,,
242,83,446,31.1185314655304,,
242,208,516,31.1185314655304,,
242,208,446,31.1185314655304,,
242,125,633,31.1185314655304,,
242,208,610,31.1185314655304,,
243,83,446,31.25855565071106,,
243,83,540,31.25855565071106,,
243,83,446,31.25855565071106,,
243,125,610,31.25855565071106,,
243,208,610,31.25855565071106,,
244,125,633,31.385077476501465,,
244,125,375,31.385077476501465,,
244,125,375,31.385077476501465,,
245,125,633,31.51309871673584,,
245,125,375,31.51309871673584,,
245,125,375,31.51309871673584,,
245,166,375,31.51309871673584,,
245,166,375,31.51309871673584,,
246,125,375,31.640121936798096,,
246,125,375,31.640121936798096,,
252,166,375,32.4022536277771,,
252,166,375,32.4022536277771,,
253,125,610,32.52827572822571,,
253,208,610,32.52827572822571,,
253,125,375,32.52827572822571,,
253,125,375,32.52827572822571,,
253,125,375,32.52827572822571,,
253,166,375,32.52827572822571,,
253,166,375,32.52877616882324,,
254,166,375,32.65279793739319,,
254,166,375,32.65279793739319,,
255,125,375,32.783820390701294,,
255,166,375,32.78432035446167,,
255,166,375,32.78432035446167,,
257,208,446,33.037864685058594,,
257,208,516,33.037864685058594,,
257,208,446,33.037864685058594,,
257,125,633,33.037864685058594,,
257,208,610,33.037864685058594,,
257,166,375,33.037864685058594,,
257,208,375,33.037864685058594,,
257,166,375,33.037864685058594,,
258,208,516,33.1648862361908,,
258,125,633,33.1648862361908,,
258,166,375,33.16538739204407,,
258,166,375,33.16538739204407,,
259,208,516,33.29140853881836,,
259,125,633,33.29140853881836,,
259,250,610,33.29140853881836,,
259,166,375,33.29140853881836,,
259,208,375,33.29140853881836,,
259,166,375,33.29140853881836,,
262,208,516,33.672974586486816,,
263,208,516,33.80149745941162,,
263,125,610,33.80149745941162,,
263,125,375,33.80149745941162,,
263,166,375,33.80149745941162,,
263,166,375,33.80149745941162,,
264,208,516,33.93302011489868,,
264,125,610,33.93302011489868,,
264,250,610,33.93302011489868,,
264,125,375,33.93302011489868,,
264,166,375,33.93302011489868,,
264,166,375,33.93302011489868,,
265,208,516,34.06554317474365,,
267,208,516,34.333590269088745,,
268,208,516,34.45861196517944,,
269,208,516,34.585633754730225,,
269,125,375,34.585633754730225,,
273,208,516,35.09622287750244,,
273,125,610,35.09622287750244,,
273,125,375,35.09622287750244,,
274,375,446,35.22124457359314,,
284,125,586,36.50996947288513,,
284,250,586,36.50996947288513,,
290,166,586,37.29410529136658,,
301,125,375,38.82387137413025,,
302,125,375,38.95439434051514,,
303,125,375,39.08241629600525,,
304,166,375,39.23244333267212,,
305,125,375,39.37096643447876,,
306,125,375,39.50649166107178,,
307,166,375,39.63901472091675,,
309,125,375,39.91256070137024,,
310,250,493,40.06708812713623,,
321,125,446,41.497337102890015,,
321,166,446,41.497337102890015,,
321,250,446,41.497337102890015,,
321,166,446,41.497337102890015,,
321,125,516,41.497337102890015,,
321,125,446,41.497337102890015,,
321,208,516,41.497337102890015,,
321,250,446,41.497337102890015,,
321,125,610,41.497337102890015,,
321,166,446,41.497337102890015,,
321,166,375,41.497337102890015,,
321,166,446,41.497337102890015,,
321,166,375,41.497337102890015,,
321,166,375,41.497337102890015,,
321,125,375,41.497337102890015,,
321,166,375,41.497337102890015,,
321,166,375,41.497337102890015,,
322,166,446,41.62235879898071,,
322,250,446,41.62235879898071,,
322,166,446,41.62235879898071,,
322,208,516,41.62235879898071,,
322,250,446,41.62235879898071,,
322,166,375,41.62235879898071,,
322,166,446,41.62235879898071,,
322,166,375,41.62285900115967,,
322,166,375,41.62285900115967,,
322,125,375,41.62285900115967,,
322,166,375,41.62285900115967,,
322,166,375,41.62285900115967,,
323,166,446,41.75138092041016,,
323,166,446,41.75138092041016,,
323,125,516,41.75138092041016,,
323,208,516,41.75138092041016,,
323,125,610,41.75138092041016,,
323,166,446,41.75138092041016,,
323,250,610,41.75138092041016,,
323,166,446,41.75138092041016,,
323,166,375,41.75188231468201,,
323,166,446,41.75188231468201,,
323,166,375,41.75188231468201,,
323,166,375,41.75188231468201,,
323,125,375,41.75188231468201,,
323,166,375,41.75188231468201,,
323,166,375,41.75188231468201,,
323,166,375,41.75188231468201,,
323,166,375,41.75188231468201,,
324,208,422,41.87890386581421,,
324,208,516,41.87890386581421,,
324,208,422,41.87890386581421,,
324,166,375,41.87890386581421,,
324,166,375,41.87890386581421,,
324,125,375,41.87890386581421,,
324,166,375,41.87890386581421,,
325,125,446,42.007426261901855,,
325,166,446,42.007426261901855,,
325,208,446,42.007426261901855,,
325,166,446,42.007426261901855,,
325,208,516,42.007426261901855,,
325,208,446,42.007426261901855,,
325,125,610,42.00792622566223,,
325,166,446,42.00792622566223,,
325,250,610,42.00792622566223,,
325,166,446,42.00792622566223,,
325,166,375,42.00792622566223,,
325,166,446,42.00792622566223,,
325,166,375,42.00792622566223,,
325,125,375,42.00792622566223,,
325,166,375,42.00792622566223,,
326,83,446,42.138949155807495,,
326,208,446,42.138949155807495,,
326,208,516,42.138949155807495,,
326,208,446,42.138949155807495,,
326,125,375,42.138949155807495,,
327,166,446,42.26747107505798,,
327,208,446,42.26747107505798,,
327,166,446,42.26747107505798,,
327,208,516,42.26747107505798,,
327,208,446,42.26747107505798,,
327,125,610,42.26747107505798,,
327,166,446,42.26747107505798,,
327,250,610,42.26747107505798,,
327,166,446,42.26747107505798,,
327,166,375,42.26747107505798,,
327,166,446,42.26747107505798,,
327,166,375,42.26747107505798,,
327,125,375,42.26747107505798,,
327,166,375,42.26747107505798,,
328,83,446,42.39649510383606,,
328,166,446,42.39649510383606,,
328,250,446,42.39649510383606,,
328,166,446,42.39649510383606,,
328,208,516,42.39649510383606,,
328,250,446,42.39649510383606,,
328,125,610,42.39649510383606,,
328,166,446,42.39649510383606,,
328,250,610,42.39649510383606,,
328,166,446,42.39649510383606,,
328,166,375,42.39649510383606,,
328,166,446,42.39649510383606,,
328,166,375,42.39649510383606,,
328,125,375,42.39649510383606,,
328,166,375,42.39649510383606,,
329,125,375,42.52251577377319,,
330,166,446,42.6485378742218,,
330,166,446,42.6485378742218,,
330,166,446,42.6490375995636,,
330,125,375,42.6490375995636,,
331,125,375,42.77455997467041,,
332,208,446,42.90458154678345,,
332,125,375,42.90458154678345,,
332,166,375,42.90458154678345,,
332,166,375,42.90458154678345,,
333,208,446,43.03510522842407,,
333,125,633,43.03510522842407,,
333,125,375,43.03510522842407,,
334,208,446,43.1591272354126,,
334,125,375,43.1596269607544,,
335,208,446,43.28664803504944,,
335,125,399,43.28664803504944,,
336,166,446,43.415170669555664,,
336,208,446,43.415170669555664,,
336,166,446,43.415170669555664,,
336,125,610,43.415170669555664,,
336,166,446,43.415170669555664,,
336,166,446,43.415170669555664,,
336,125,375,43.415170669555664,,
337,166,446,43.54469275474548,,
337,208,446,43.54469275474548,,
337,166,446,43.54469275474548,,
337,125,610,43.54469275474548,,
337,166,446,43.54469275474548,,
337,208,610,43.54469275474548,,
337,166,446,43.54469275474548,,
337,166,446,43.54469275474548,,
337,125,399,43.54469275474548,,
338,166,446,43.67621660232544,,
338,208,446,43.67621660232544,,
338,166,446,43.67621660232544,,
338,208,516,43.67621660232544,,
338,208,446,43.67621660232544,,
338,125,610,43.676717042922974,,
338,166,446,43.676717042922974,,
338,208,610,43.676717042922974,,
338,166,446,43.676717042922974,,
338,166,446,43.676717042922974,,
338,125,399,43.676717042922974,,
339,208,446,43.80323886871338,,
339,125,610,43.80323886871338,,
339,125,399,43.80323886871338,,
340,125,399,43.93576169013977,,
341,208,446,44.06228399276733,,
341,125,399,44.06278395652771,,
342,125,399,44.18930530548096,,
343,125,399,44.31732773780823,,
344,208,446,44.44685101509094,,
344,125,610,44.44685101509094,,
344,208,586,44.44685101509094,,
344,125,399,44.44735074043274,,
345,208,446,44.57537245750427,,
345,208,516,44.57537245750427,,
345,208,446,44.57537245750427,,
345,125,586,44.57537245750427,,
345,208,586,44.57587265968323,,
345,125,399,44.57587265968323,,
346,375,540,44.70339584350586,,
346,125,610,44.70339584350586,,
346,208,586,44.70339584350586,,
